Device_ID,District,Road_EN,Road_TC,Road_SC,Easting,Northing,Latitude,Longitude,Direction,Rotation
TCS01101-1,Wan Chai,Wong Nai Chung Gap Flyover,黃泥涌峽天橋,黄泥涌峡天桥,836609,814749,22.27158293,114.180183,North West,320
TCS01101-2,Wan Chai,Wong Nai Chung Gap Flyover,黃泥涌峽天橋,黄泥涌峡天桥,836609,814749,22.27158293,114.180183,North West,320
TCS01102,Kowloon City,Princess Margaret Road,公主道,公主道,836248,819247,22.31220271,114.1766802,North West,350
TCS01103,Sha Tin,Lion Rock Tunnel Road,獅子山隧道公路,狮子山隧道公路,836167,824542,22.36001961,114.1758938,North East,40
TCS01202,Kowloon City,Princess Margaret Road,公主道,公主道,836276,819369,22.31330444,114.176952,South West,190
TCS01203-1,Sha Tin,Lion Rock Tunnel,獅子山隧道,狮子山隧道,835903,824338,22.35817734,114.1733307,South West,220
TCS01203-2,Sha Tin,Lion Rock Tunnel,獅子山隧道,狮子山隧道,835903,824338,22.35817734,114.1733307,South West,220
TCS02102,Kwun Tong,Kwun Tong Bypass,觀塘繞道,观塘绕道,839824,819769,22.316913,114.2113882,West,270
TCS02103,Wong Tai Sin,Tate's Cairn Tunnel,大老山隧道,大老山隧道,839051,822434,22.34098093,114.2038902,North East,40
TCS02202,Kwun Tong,Kwun Tong Bypass,觀塘繞道,观塘绕道,839364,820068,22.31961404,114.2069241,South East,150
TCS02203-2,Wong Tai Sin,Tate's Cairn Tunnel,大老山隧道（旁）,大老山隧道（旁）,839044,822352,22.34024044,114.2038221,South West,220
TCS03101-1,Central & Western,Connaught Road West Flyover,干諾道西天橋,干诺道西天桥,832352,816606,22.28834842,114.1388742,North East,60
TCS03101-2,Central & Western,Connaught Road West,干諾道西,干诺道西,832408,816672,22.28894457,114.1394174,North East,40
TCS03101-3,Central & Western,Connaught Road West Flyover,干諾道西天橋,干诺道西天桥,833052,816629,22.28855757,114.1456668,West,270
TCS03101-4,Central & Western,Connaught Road West,干諾道西,干诺道西,832766,816646,22.28871053,114.1428915,West,270
TCS03102,Yau Tsim Mong,West Kowloon Highway,西九龍公路,西九龙公路,834586,819665,22.31597668,114.1605493,North West,350
TCS03201,Central & Western,Western Harbour Crossing,西區海底隧道,西区海底隧道,832798,816708,22.2892705,114.1432019,South West,220
TCS03202,Yau Tsim Mong,West Kowloon Highway,西九龍公路,西九龙公路,834567,819714,22.31641917,114.1603649,South East,135
TCS03203,Yuen Long,Tsing Long Highway,靑朗公路,青朗公路,824386,830275,22.41175041,114.061472,South West,220
TCS04101,Central & Western,Connaught Road CentralFlyover,干諾道中天橋,干诺道中天桥,833689,816510,22.28748399,114.1518483,South East,100
TCS04102,Eastern,Island Eastern Corridor,東區走廊,东区走廊,842429,815545,22.27876033,114.2366555,South East,130
TCS04201,Central & Western,Connaught Road West Flyover,干諾道西天橋,干诺道西天桥,833489,816568,22.28800746,114.1499075,South East,100
TCS04202-1,Eastern,Island Eastern Corridor,東區走廊,东区走廊,842241,815833,22.28136181,114.2348324,North West,310
TCS04202-2,Eastern,Island Eastern Corridor,東區走廊,东区走廊,842260,815787,22.28094634,114.2350166,North West,310
TCS05101-1,Kowloon City,Kai Tak Tunnel,啓德隧道,启德隧道,837650,820210,22.32089862,114.1902882,South West,185
TCS05101-2,Kowloon City,Kai Tak Tunnel,啓德隧道,启德隧道,837676,820209,22.32088957,114.1905405,South,180
TCS05102,Kowloon City,East Kowloon Corridor,東九龍走廊,东九龙走廊,837196,819183,22.3116245,114.185881,South West,225
